实体ID,实体类型,实体名称
E1,器官,肝脏
E2,特性,最大实质性器官
E3,特性,最大腺体
E4,权重,体重1/40-1/50
E5,解剖位置,腹腔右上区域
E6,解剖位置,右侧横膈膜下方
E7,器官,胆囊
E8,器官,右肾
E9,器官,胃
E10,解剖位置,右侧第七至第十一根肋骨间
E11,属性,重量_男性_1230-1450克
E12,属性,重量_女性_1100-1300克
E13,属性,颜色_棕红色
E14,属性,血容量_14%
E15,属性,血流量_1500-2000ml/min
E16,属性,心输出量_25%
E17,解剖系统,奎诺系统
E18,解剖结构,8个解剖节段
E19,解剖结构,左叶
E20,解剖结构,右叶
E21,解剖结构,尾叶
E22,解剖结构,方叶
E23,结构,镰状韧带
E24,血管,门静脉
E25,血管,肝动脉
E26,属性,门静脉供血_75%
E27,属性,肝动脉供血_25%
E28,生物分子,凝血因子I
E29,生物分子,凝血因子II
E30,生物分子,凝血因子V
E31,生物分子,凝血因子VII
E32,生物分子,凝血因子IX
E33,生物分子,凝血因子XI
E34,蛋白质,C反应蛋白
E35,蛋白质,S反应蛋白
E36,蛋白质,血浆蛋白
E37,生长因子,胰岛素样生长因子1
E38,激素,血小板生成素
E39,代谢物质,糖原
E40,代谢过程,糖异生
E41,代谢物质,胆固醇
E42,代谢物质,甘油三酯
E43,代谢物质,脂肪酸
E44,维生素,维生素A
E45,维生素,维生素D
E46,维生素,维生素B12
E47,元素,铁
E48,元素,铜
E49,酶系统,P450系统
E50,生化过程,氧化
E51,生化过程,还原
E52,生化过程,水解
E53,生化过程,醛糖酸化
E54,生化过程,硫酸化
E55,生化过程,甘胺酸化
E56,生化过程,谷胱甘肽结合
E57,疾病,病毒性肝炎
E58,疾病,酒精性肝炎
E59,疾病,自身免疫性肝炎
E60,疾病,脂肪肝
E61,疾病,威尔森氏症
E62,疾病,血色沉着病
E63,疾病,原发性肝癌
E64,疾病类型,肝细胞癌
E65,疾病类型,胆管细胞癌
E66,疾病,转移性肝癌
E67,治疗,肝脏移植
E68,治疗类型,活体肝移植
E69,治疗类型,尸体肝移植
E70,研究方向,人工肝研发
E71,研究方向,干细胞治疗
E72,研究方向,基因治疗
E73,研究方向,新型药物研发
E74,研究方向,微创手术技术
E75,症状,黄疸
E76,症状,腹水
E77,症状,肝掌
E78,症状,蜘蛛痣
E79,症状,食欲不振
E80,症状,乏力
E81,症状,腹痛
E82,症状,肝区压痛
E83,检查指标,ALT
E84,检查指标,AST
E85,检查指标,γ-GT
E86,检查指标,ALP
E87,检查指标,总胆红素
E88,检查指标,白蛋白
E89,病理状态,肝细胞坏死
E90,病理状态,肝纤维化
E91,病理状态,肝硬化
