头实体ID,关系类型,尾实体ID,关系类别
E1,是,E2,属性关系
E1,是,E3,属性关系
E1,占,E4,数量关系
E1,位于,E5,位置关系
E1,位于,E6,位置关系
E1,位于前端,E7,位置关系
E1,位于前方,E8,位置关系
E1,位于上方,E9,位置关系
E1,跨越,E10,位置关系
E1,具有,E11,属性关系
E1,具有,E12,属性关系
E1,呈现,E13,属性关系
E1,具有,E14,属性关系
E1,具有,E15,属性关系
E1,接收,E16,属性关系
E17,划分,E18,分类关系
E1,包含,E19,组成关系
E1,包含,E20,组成关系
E1,包含,E21,组成关系
E1,包含,E22,组成关系
E23,分隔,E19,功能关系
E23,分隔,E20,功能关系
E24,提供,E26,供应关系
E25,提供,E27,供应关系
E1,合成,E28,功能关系
E1,合成,E29,功能关系
E1,合成,E30,功能关系
E1,合成,E31,功能关系
E1,合成,E32,功能关系
E1,合成,E33,功能关系
E1,合成,E34,功能关系
E1,合成,E35,功能关系
E1,合成,E36,功能关系
E1,合成,E37,功能关系
E1,合成,E38,功能关系
E1,代谢,E39,功能关系
E1,执行,E40,功能关系
E1,合成,E41,功能关系
E1,生产,E42,功能关系
E1,代谢,E43,功能关系
E1,储存,E44,功能关系
E1,储存,E45,功能关系
E1,储存,E46,功能关系
E1,储存,E47,功能关系
E1,储存,E48,功能关系
E1,依赖,E49,功能关系
E49,执行,E50,功能关系
E49,执行,E51,功能关系
E49,执行,E52,功能关系
E1,通过,E53,功能关系
E1,通过,E54,功能关系
E1,通过,E55,功能关系
E1,通过,E56,功能关系
E1,可能患有,E57,疾病关系
E1,可能患有,E58,疾病关系
E1,可能患有,E59,疾病关系
E1,可能患有,E60,疾病关系
E1,可能患有,E61,疾病关系
E1,可能患有,E62,疾病关系
E63,包括,E64,分类关系
E63,包括,E65,分类关系
E1,可能患有,E66,疾病关系
E67,包括,E68,分类关系
E67,包括,E69,分类关系
E1,相关研究,E70,研究关系
E1,相关研究,E71,研究关系
E1,相关研究,E72,研究关系
E1,相关研究,E73,研究关系
E1,相关研究,E74,研究关系
E57,表现为,E75,症状关系
E91,导致,E76,症状关系
E91,引起,E77,症状关系
E91,引起,E78,症状关系
E57,表现为,E79,症状关系
E57,表现为,E80,症状关系
E63,引起,E81,症状关系
E57,表现为,E82,症状关系
E57,升高,E83,检查关系
E57,升高,E84,检查关系
E58,升高,E85,检查关系
E65,升高,E86,检查关系
E75,相关,E87,检查关系
E91,降低,E88,检查关系
E57,导致,E89,病理关系
E89,进展为,E90,病理关系
E90,进展为,E91,病理关系
E91,引起,E92,病理关系
E91,并发,E93,并发关系
E92,导致,E94,并发关系
E91,并发,E95,并发关系
E91,并发,E96,并发关系
E97,导致,E58,病因关系
E98,引起,E60,病因关系
E99,导致,E57,病因关系
E100,引起,E89,病因关系
E101,改善,E58,干预关系
E102,改善,E76,干预关系
E103,改善,E80,干预关系
E104,促进,E60,干预关系
E105,诊断,E60,诊断关系
E106,诊断,E63,诊断关系
E107,诊断,E66,诊断关系
E108,确诊,E59,诊断关系
E109,检测,E57,诊断关系
E110,治疗,E57,治疗关系
E111,治疗,E76,治疗关系
E112,保护,E1,治疗关系
